"","poradi","ID","datum","cas_sec","misto_vyzkumu","obor","zakl_vyzkum","reproduk","rep_Ne","rep_Mainstream","rep_Casopisy","rep_Diskuse","rep_Vlastni","krize_rep","krize_fyz","krize_bio","krize_med","krize_soc","krize_nevim","rep_podil","nerep_problem","nerep_chyba","nerep_valid","nerep_neobj","nerep_veda","nerep_narust","reg_Evropa","reg_Sev.Amerika","reg_Asie","reg_vsude.stejne","reg_nevim","nerep_zeme","despekt","desp_zeme","desp_jazyk","desp_kvalita","desp_nevim","desp_vlastni","reakce_nectu","reakce_vyberu","reakce_obezret","reakce_nic","reakce_stejne","reakce_nevim","reakce_vlastni","fakt_podvod","fakt_karier","fakt_dohled","fakt_recenz","fakt_selekc","fakt_replik","fakt_statis","fakt_odborn","fakt_data","fakt_dokume","fakt_metody","fakt_variab","fakt_design","fakt_smula","fakt_dalsi","nerep_jaMuj","nerep_jaCizi","nerep_oniMuj","rep_komentar","objekt_vnejsi.pohled","objekt_presnost","objekt_matematicka.konzistence","objekt_testovatelnost","objekt_nestrannost","objekt_priblizeni.pravde","objekt_shoda.s.realitou","objekt_kvantifikace","objekt_intersubjektivita","objekt_kriticke.mysleni","objekt_reprodukovatelnost","objekt_diskut","frek_nerepre","frek_hacking","frek_positiv","frek_popular","frek_modmet","frek_oversell","frek_zbytecne","frek_salam","neobj_nerepre","neobj_hacking","neobj_positiv","neobj_popular","neobj_modmet","neobj_oversell","neobj_zbytecne","neobj_salam","financ_vliv","financ_zajisti.objektivitu","financ_neduvera","financ_zajisti.nezavislost","financ_casvliv","financ_casvlast","pomer_administr","diskrim_muzi","diskrim_starsi","diskrim_uspesni","diskrim_autority","diskrim_zavedene","objekt_komentar","dilema_predator","dilema_neinformoval","dilema_misogyn","dilema_kvoty","dilema_cinska.medicina","dilema_embryo","dilema_komentar","gender","vek","kar_praxe","kar_titul","kar_citace","kar_nejlepsi","kar_kategorie","kar_komentar","pomer_veda","pomer_zakladni","obor_dotovany","obor_konkuren","obor_tlak","obor_rychly","obor_priliv","obor_publikac","obor_medializ","obor_verejnos","obor_komplexn","obor_mensi","cinnost_matem","cinnost_model","cinnost_teori","cinnost_exper","cinnost_kateg","cinnost_vyvoj","obor_ekzaktnost","obor_komentar","spec_hlavni","spec_astr","spec_astrvl","spec_bio","spec_biovl","spec_chem","spec_chemvl","spec_ekol","spec_ekolvl","spec_inze","spec_inzevl","spec_matr","spec_matrvl","spec_medi","spec_medivl","spec_fyzi","spec_fyzivl","spec_matm","spec_metmvl","spec_vlastni","instituce"
"438",439,5802298,2019-04-24,1939,"V Akademii věd ČR","Sekce matematiky, fyziky a informatiky","Ne","V podstatě souhlasím...","Ne",NA,NA,NA,NA,"Ne, žádná krize není",NA,NA,NA,NA,"Nevím","Nevím","Rozhodně nesouhlasím","Spíše nesouhlasím","Spíše souhlasím","Rozhodně souhlasím","Rozhodně souhlasím","Spíše nesouhlasím",NA,NA,NA,NA,"Nedokážu posoudit","Egypt, Blízký Východ....","Nikdy","Nepadá v úvahu",NA,NA,NA,NA,NA,"Vybírám si jen taková pracoviště, o nichž jsem přesvědčen, že dělají kvalitní vědu",NA,NA,NA,NA,NA,"Vždy","Velmi často","Velmi často","Někdy","Velmi často","Velmi často","Někdy","Někdy","Někdy","Nevím","Někdy","Někdy","Velmi často","Nevím","Ne","Ano","Ne","Ne","NEMÁM",NA,NA,NA,NA,NA,NA,"Shoda s realitou",NA,"Intersubjektivita (možnost sdílet vědecké výsledky s ostatními)",NA,"Reprodukovatelnost","Někdy","Nevím","Nevím","Vždy 100%","Nevím","Nevím","50%","Nevím","50%","Ano","Ano","Ne","Ne","Nevím","Ano","Ano","Ne","Velmi často","Státní nebo nadnárodní (státní nebo evropské instituce, grantové agentury apod.)","Nevím","Dlouhodobé","Ano, vede k preferenci jednodušeji zodpověditelných výzkumných otázek (na úkor hlubších)",NA,"20%",0,0,-1,-1,0,"Nemám...","ano","ne","ne","ne","ne","ne","Nemám....","Muž","65 a více","20 a více let","DrSc./DSc.","Do 1000","Ano","Vědecký pracovník do třídy V5","K otázce 44: Jsem emeritní pracovník ústavu, jakoby důchodce",NA,"100%","Rozhodně ne","Spíše ne","Rozhodně ne","Spíše ne","Spíše ne","Spíše ne","Rozhodně ne","Rozhodně ne","Spíše ano","Rozhodně ano","2. místo","1. místo","2. místo","1. místo","1. místo",NA,"„Tvrdší“ (exaktnější)","Nemámk....","Physics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Condensed-matter Physics",NA,NA,NA,NA,"AV"
"439",440,5804149,2019-04-27,1283,"V Akademii věd ČR","Sekce chemických věd","Ano",NA,NA,NA,"Ano, ve vědeckých časopisech",NA,NA,"Ano, nevýznamná krize",NA,NA,NA,NA,NA,"60 %","Nevím","Spíše souhlasím","Spíše nesouhlasím","Spíše souhlasím","Spíše souhlasím","Nevím",NA,NA,"Asie",NA,NA,"Čína","Nikdy",NA,NA,NA,NA,NA,NA,"Vybírám si jen taková pracoviště, o nichž jsem přesvědčen, že dělají kvalitní vědu",NA,NA,NA,NA,NA,"Někdy","Velmi často","Nevím","Někdy","Někdy","Nevím","Nevím","Někdy","Nevím","Někdy","Velmi často","Nevím","Velmi často","Nevím",NA,"Ne","Nepamatuji se","Ne",NA,NA,"Přesnost",NA,NA,NA,NA,"Shoda s realitou",NA,NA,"Kritické myšlení",NA,"Zřídka","20%","Nevím","70%","20%","30%","Nevím","30%","30%","Ano","Nevím","Nevím","Ne","Ano","Nevím","Ano","Ano","Velmi často","Státní nebo nadnárodní (státní nebo evropské instituce, grantové agentury apod.)","Nevím","Dlouhodobé","Ano, vede k preferenci jednodušeji zodpověditelných výzkumných otázek (na úkor hlubších)",NA,"50%",0,-1,0,-1,0,NA,"ne","ne","ne","ano","ne","ano",NA,"Muž","65 a více","20 a více let","DrSc./DSc.","Do 1000","Ano","Vedoucí vědecký pracovník do třídy V6",NA,NA,"90%","Spíše ano","Spíše ano","Spíše ne","Spíše ano","Rozhodně ne","Spíše ano","Spíše ne","Spíše ne","Spíše ano","Spíše ne","2. místo","1. místo","1. místo","1. místo","Tuto činnost nedělám","1. místo","„Tvrdší“ (exaktnější)",NA,"Chemistry",NA,NA,NA,NA,"Physical Chemistry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AV"
"440",1,5830445,2019-06-26,1882,"Na univerzitách v ČR","Biologicko-ekologické vědy","Ano",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nestrannost","Přiblížení k pravdě",NA,NA,NA,"Kritické myšlení",NA,"Zřídka","Nevím","10%","80%","30%","30%","30%","30%","10%","Ano","Ano","Ne","Ne","Ano","Ano","Ne","Ne","Zřídka","Nehraje roli","Ne, obojí je stejně důvěryhodné","Dlouhodobé","Ano, vede k preferenci jednodušeji zodpověditelných výzkumných otázek (na úkor hlubších)",NA,"40%",0,0,-1,0,0,"Nerozumím současnému způsobu hodnocení vědy (přestože se o problematiku zajímám). Není mi jasné, jak se hodnocení promítne do financí. 

Považuji za nevhodné rozdělení časopisů do diskrétních skupin (1. decil, 1. kvartil), protože rozdíly v rámci těchto skupin jsou obrovské a hranice mezi nimi proměnlivá). 

Ze zpráv hodnocení vědy nechápu, zda nejsem v podstatě penalizován za článek publikovaný v českém journálu, kterému se tak snažím trochu pomoci, ale který je ve Q4, zatímco moje ostatní články jsou ve Q1)

mohl bych pokračovat, ale musím jít dělat vědu","ne","ne","ne","ne","ano","ne","32 - jestliže publikoval většinu svých tehdejších článků v predátorských časopisech, pak zřejmě není zas tak super vědec, kdyby jich byla menšina, dalo by se to pokládat za nepozornost.
34 - výrok považuji za nevhodný a vůbec nechápu, proč by se měl někdo takto vymezovat, zda ten obor založil muž nebo žena, nicméně, jsme lidi a blbosti občas z úst vypustíme. Napomenutí, omluva, vysvětlení, ale ne suspendace. 
37 - plně nerozumím otázce - nevím, na čem je tato metoda založená","Muž","35–44","10–19 let","Docent","Do 5000","Ano","Vědecký pracovník do třídy VP3","43 - nevím, co znamená ""nejlepší"". publikoval jsem několik článků v 1. decilu. Nedávný článek vyšel v časopise, který je v daném oboru 3. podle AIS.","60%","100%","Nevím","Spíše ano","Nevím","Nevím","Spíše ano","Spíše ano","Spíše ano","Spíše ano","Nevím","Spíše ano","Tuto činnost nedělám","Tuto činnost nedělám","Tuto činnost nedělám","Tuto činnost nedělám","Tuto činnost nedělám","Tuto činnost nedělám","„Měkčí“ (méně exaktní)","Nevím, jak moc si mám ""můj obor"" vymezit. 
Economics > sustainbility > environmental sustainbility (Environmental Sciences) > Environmental footprints > input-output economics","Earth and Environmental Science",NA,NA,NA,NA,NA,NA,"Environmental Sciences",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UK"
"441",2,5830583,2019-06-27,2032,"Na univerzitách v ČR","Chemické vědy","Ano",NA,NA,NA,"Ano, ve vědeckých časopisech",NA,NA,"Ano, nevýznamná krize","Fyzikálních/chemických","Biologických","Lékařských",NA,NA,"70 %","Rozhodně souhlasím","Ani souhlasím/ani nesouhlasím","Spíše souhlasím",NA,"Spíše souhlasím","Spíše souhlasím",NA,NA,"Asie",NA,NA,"čína","Nikdy",NA,NA,NA,NA,NA,NA,"Vybírám si jen taková pracoviště, o nichž jsem přesvědčen, že dělají kvalitní vědu",NA,NA,NA,NA,NA,"Zřídka","Velmi často","Velmi často","Velmi často","Velmi často","Někdy","Někdy","Velmi často","Zřídka","Někdy","Někdy","Někdy","Velmi často","Někdy",NA,"Nepamatuji se","Ano","Ne",NA,NA,NA,NA,NA,NA,"Přiblížení k pravdě",NA,NA,NA,NA,NA,"Zřídka","30%","Nevím","Nevím","70%","50%","50%","Nevím","10%","Ano","Nevím","Ano","Ano","Ano","Ano","Nevím","Ano","Velmi často","Soukromé (korporátní)","Financovaných z veřejných zdrojů","Dlouhodobé","Ano, vede k preferenci jednodušeji zodpověditelných výzkumných otázek (na úkor hlubších)",NA,"50%",0,-1,-1,-1,-1,NA,"ne","ano","ne","ano","ano","ne",NA,"Muž","35–44","10–19 let","Docent","Do 5000","Ne","Akademický pracovník do třídy AP3",NA,"50%","50%","Spíše ne","Spíše ano","Rozhodně ano","Spíše ano","Rozhodně ne","Spíše ano","Spíše ne","Spíše ano","Spíše ne","Spíše ne","Tuto činnost nedělám","3. místo","Tuto činnost nedělám","1. místo","Tuto činnost nedělám","1. místo","„Tvrdší“ (exaktnější)","analytická chemie, separace","Chemistry",NA,NA,NA,NA,"Analytical Chemistry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UK"
"442",3,5830584,2019-06-27,1669,"Na univerzitách v ČR","Chemické vědy","Ano",NA,NA,NA,NA,"Ano, v diskuzích na konferencích",NA,"Ano, nevýznamná krize","Fyzikálních/chemických","Biologických",NA,NA,NA,"60 %","Ani souhlasím/ani nesouhlasím","Ani souhlasím/ani nesouhlasím","Spíše nesouhlasím","Spíše souhlasím","Spíše nesouhlasím","Spíše souhlasím",NA,NA,"Asie",NA,NA,"Indie, Pákistán, Čína","Zřídka",NA,NA,NA,"Nedokážu posoudit",NA,NA,NA,"Čtu dál studie z tohoto regionu, ale jsem obezřetný ohledně jejich závěrů",NA,NA,NA,NA,"Zřídka","Někdy","Velmi často","Zřídka","Někdy","Zřídka","Někdy","Velmi často","Zřídka","Zřídka","Velmi často","Nikdy","Zřídka","Zřídka",NA,"Ano","Ano","Ne",NA,"Pohled z vnějšku",NA,NA,NA,"Nestrannost",NA,NA,NA,NA,NA,NA,"Nikdy","50%","Nevím","80%","50%","30%","60%","60%","70%","Ne","Nevím","Ne","Ano","Ne","Ano","Ano","Ano","Někdy","Státní nebo nadnárodní (státní nebo evropské instituce, grantové agentury apod.)","Ne, obojí je stejně důvěryhodné","Dlouhodobé","Ano, vede k preferenci jednodušeji zodpověditelných výzkumných otázek (na úkor hlubších)",NA,"60%",0,0,-1,-1,-1,NA,"ano","ne","ne","ne","ne","ne",NA,"Muž","35–44","10–19 let","Profesor","Do 1000","Ne","Akademický pracovník do třídy AP4",NA,"40%","90%","Spíše ne","Rozhodně ano","Spíše ano","Spíše ne","Spíše ne","Spíše ano","Spíše ne","Spíše ne","Rozhodně ano","Spíše ne","Tuto činnost nedělám","Tuto činnost nedělám","Tuto činnost nedělám","1. místo","Tuto činnost nedělám","2. místo","„Tvrdší“ (exaktnější)",NA,"Chemistry",NA,NA,NA,NA,"Medicinal & Pharmaceutical Chemistry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UK"
"443",4,5830608,2019-06-27,4384,"Na univerzitách v ČR","Chemické vědy","Ano",NA,NA,NA,NA,"Ano, v diskuzích na konferencích",NA,"Ano, významná krize","Fyzikálních/chemických",NA,NA,NA,NA,"50 %","Rozhodně souhlasím","Spíše souhlasím","Spíše nesouhlasím","Rozhodně souhlasím","Spíše nesouhlasím","Rozhodně souhlasím",NA,NA,"Asie",NA,NA,"Čína, Indie","Někdy","USA, GB",NA,NA,"Nedokážu posoudit",NA,NA,NA,"Čtu dál studie z tohoto regionu, ale jsem obezřetný ohledně jejich závěrů",NA,NA,NA,NA,"Velmi často","Vždy","Nevím","Někdy","Velmi často","Velmi často","Někdy","Zřídka","Někdy","Velmi často","Zřídka","Zřídka","Někdy","Nikdy",NA,"Ne","Ano","Ne",NA,NA,"Přesnost",NA,NA,NA,NA,NA,NA,NA,"Kritické myšlení","Reprodukovatelnost","Někdy","60%","Nevím","Vždy 100%","90%","30%","80%","80%","70%","Ano","Ano","Ne","Ne","Nevím","Ano","Ano","Ano","Vždy","Nehraje roli","Nevím","Dlouhodobé","Ano, vede k preferenci jednodušeji zodpověditelných výzkumných otázek (na úkor hlubších)",NA,"50%",0,-1,-1,-1,-1,NA,"ano","ne","ne","ne","ano","ne",NA,"Muž","35–44","10–19 let","Docent","Do 1000","Ano","Akademický pracovník do třídy AP3",NA,"30%","80%","Spíše ne","Rozhodně ano","Spíše ano","Spíše ne","Spíše ne","Rozhodně ano","Spíše ano","Spíše ne","Spíše ne","Rozhodně ne","Tuto činnost nedělám","Tuto činnost nedělám","3. místo","1. místo","Tuto činnost nedělám","2. místo","„Tvrdší“ (exaktnější)",NA,"Chemistry",NA,NA,NA,NA,"Medicinal & Pharmaceutical Chemistry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UK"
"444",5,5830613,2019-06-27,5856,"Na univerzitách v ČR","Biologicko-ekologické vědy","Ano",NA,"Ne",NA,NA,NA,NA,"Ne, žádná krize není",NA,NA,NA,NA,NA,"90 %","Spíše souhlasím","Rozhodně souhlasím","Spíše nesouhlasím","Spíše souhlasím","Spíše nesouhlasím","Nevím",NA,NA,"Asie",NA,NA,"Čína, Indie","Zřídka",NA,"Byla to jazyková záležitost, protože nejsem rodilý mluvčí",NA,NA,NA,NA,"Vybírám si jen taková pracoviště, o nichž jsem přesvědčen, že dělají kvalitní vědu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ano","Ano","Nepamatuji se",NA,NA,NA,NA,NA,"Nestrannost","Přiblížení k pravdě",NA,NA,NA,"Kritické myšlení",NA,"Někdy","30%","Nevím","50%","40%","80%","Nevím","30%","20%","Ne","Nevím","Ne","Nevím","Ano","Nevím","Ano","Ano","Někdy","Státní nebo nadnárodní (státní nebo evropské instituce, grantové agentury apod.)","Nevím","Dlouhodobé","dělám to, na co mám grant","dělám to, na co mám grant","50%",-1,0,-1,-1,-1,NA,"ano","ano","ne","ne","ano","ano",NA,"Žena","55–64","20 a více let","Profesor","Do 1000","Ne","Akademický pracovník do třídy AP4",NA,"30%","100%","Spíše ne","Spíše ano","Spíše ne","Rozhodně ano","Spíše ano","Rozhodně ano","Spíše ano","Spíše ne","Spíše ano","Nevím","Tuto činnost nedělám","Tuto činnost nedělám","3. místo","1. místo","Tuto činnost nedělám","2. místo","„Tvrdší“ (exaktnější)",NA,"Earth and Environmental Science",NA,NA,NA,NA,NA,NA,"Environmental Sciences",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UK"
"445",6,5830622,2019-06-27,1394,"Na univerzitách v ČR","Biologické a lékařské vědy","Ano",NA,NA,NA,NA,"Ano, v diskuzích na konferencích",NA,"Ano, nevýznamná krize",NA,"Biologických","Lékařských",NA,NA,"50 %","Ani souhlasím/ani nesouhlasím","Spíše souhlasím","Spíše nesouhlasím","Ani souhlasím/ani nesouhlasím","Rozhodně souhlasím","Spíše souhlasím",NA,NA,NA,NA,"Nedokážu posoudit",NA,"Někdy","Bývalý ""západ""",NA,NA,NA,"despekt k zemím ""východního bloku"" obecně, zejména první polovina 90.let",NA,NA,NA,"Nijak, protože i studie z tohoto regionu mohou obsahovat cenné výsledky",NA,NA,NA,"Zřídka","Někdy","Zřídka","Někdy","Nevím","Nevím","Zřídka","Zřídka","Nevím","Nevím","Velmi často","Zřídka","Vždy","Velmi často",NA,"Ano","Ano","Nepamatuji se",NA,NA,NA,NA,NA,"Nestrannost","Přiblížení k pravdě",NA,NA,NA,NA,NA,"Někdy","50%","Nevím","80%","50%","20%","80%","80%","80%","Ano","Nevím","Ano","Ne","Ne","Ano","Nevím","Ne","Velmi často","Nevím","Ne, obojí je stejně důvěryhodné","Dlouhodobé","Ano, vede k preferenci jednodušeji zodpověditelných výzkumných otázek (na úkor hlubších)",NA,"30%",0,0,-1,-1,-1,NA,"ano","ano","ne","ano","ano","ne",NA,"Žena","45–54","10–19 let","CSc./Ph.D.","Do 500","Ne","Akademický pracovník do třídy AP2",NA,"30%","100%","Spíše ne","Spíše ano","Rozhodně ano","Spíše ano","Spíše ne","Nevím","Spíše ano","Spíše ne","Nevím","Rozhodně ne","Tuto činnost nedělám","3. místo","2. místo","1. místo","Tuto činnost nedělám","Tuto činnost nedělám","„Tvrdší“ (exaktnější)",NA,"Medicine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pharmacology",NA,NA,NA,NA,NA,NA,"UK"
"446",7,5831133,2019-07-01,2208,"Na univerzitách v ČR","Chemické vědy","Ano",NA,NA,NA,NA,NA,"od mých kolegů","Ano, nevýznamná krize","Fyzikálních/chemických",NA,NA,NA,NA,"80 %","Ani souhlasím/ani nesouhlasím","Ani souhlasím/ani nesouhlasím","Ani souhlasím/ani nesouhlasím","Spíše souhlasím","Spíše nesouhlasím","Spíše nesouhlasím",NA,NA,"Asie",NA,NA,NA,"Nikdy",NA,NA,NA,NA,NA,NA,NA,"Čtu dál studie z tohoto regionu, ale jsem obezřetný ohledně jejich závěrů","Nijak, protože i studie z tohoto regionu mohou obsahovat cenné výsledky",NA,NA,NA,"Někdy","Zřídka","Nikdy","Zřídka","Někdy","Zřídka","Zřídka","Zřídka","Zřídka","Zřídka","Zřídka","Zřídka","Někdy","Zřídka",NA,"Ano","Ano","Nepamatuji se",NA,NA,NA,NA,NA,"Nestrannost",NA,"Shoda s realitou",NA,NA,NA,"Reprodukovatelnost","Nikdy","20%","Nikdy 0%","20%","10%","10%","Nikdy 0%","20%","40%","Ano","Nevím","Ano","Ne","Ne","Nevím","Ne","Ne","Zřídka","Soukromé (korporátní)","Nevím","Dlouhodobé","Ano, vede k preferenci jednodušeji zodpověditelných výzkumných otázek (na úkor hlubších)",NA,"20%",0,1,-1,-1,0,NA,"ano","ne","ano","ne","ano","ne",NA,"Žena","25–34","5–9 let","CSc./Ph.D.","Do 100","Ne","Vědecký pracovník do třídy VP3",NA,"80%","50%","Spíše ano","Spíše ano","Spíše ne","Spíše ne","Spíše ne","Spíše ano","Spíše ne","Rozhodně ne","Spíše ano","Spíše ne","Tuto činnost nedělám","Tuto činnost nedělám","Tuto činnost nedělám","1. místo","Tuto činnost nedělám","2. místo","„Tvrdší“ (exaktnější)",NA,"Chemistry",NA,NA,NA,NA,"Organic Chemistry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UK"
"447",8,5831182,2019-07-01,1374,"Na univerzitách v ČR","Chemické vědy","Ne",NA,NA,NA,"Ano, ve vědeckých časopisech","Ano, v diskuzích na konferencích",NA,"Ano, významná krize","Fyzikálních/chemických",NA,NA,NA,NA,"Nevím","Spíše souhlasím","Ani souhlasím/ani nesouhlasím","Spíše souhlasím","Spíše souhlasím","Spíše souhlasím","Nevím",NA,NA,NA,NA,"Nedokážu posoudit","Asie","Nikdy",NA,NA,NA,NA,NA,NA,NA,"Čtu dál studie z tohoto regionu, ale jsem obezřetný ohledně jejich závěrů",NA,NA,NA,NA,"Někdy","Velmi často","Někdy","Někdy","Někdy","Někdy","Někdy","Někdy","Nevím","Nevím","Nevím","Zřídka","Někdy","Někdy",NA,"Ne","Ano","Ano",NA,NA,NA,NA,NA,NA,NA,"Shoda s realitou",NA,"Intersubjektivita (možnost sdílet vědecké výsledky s ostatními)",NA,"Reprodukovatelnost","Někdy","30%","Nevím","50%","70%","70%","50%","50%","30%","Ano","Nevím","Ano","Ano","Ano","Ano","Ano","Nevím","Velmi často","Soukromé (korporátní)","Financovaných z veřejných zdrojů","Dlouhodobé","Nevím",NA,"60%",0,-1,-1,-1,-1,NA,"ne","ne","ne","ne","ano","ne",NA,"Muž","35–44","10–19 let","Docent","Do 1000","Ne","Akademický pracovník do třídy AP3",NA,"40%","30%","Rozhodně ne","Spíše ano","Spíše ano","Spíše ne","Spíše ne","Spíše ne","Spíše ne","Spíše ne","Spíše ano","Spíše ano","Tuto činnost nedělám","Tuto činnost nedělám","3. místo","2. místo","Tuto činnost nedělám","1. místo","„Tvrdší“ (exaktnější)",NA,"Chemistry",NA,NA,NA,NA,"Analytical Chemistry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UK"
"448",9,5831598,2019-07-02,1485,"Na univerzitách v ČR","Biologické a lékařské vědy","Ano",NA,NA,NA,"Ano, ve vědeckých časopisech",NA,NA,"Ano, významná krize",NA,"Biologických","Lékařských","Sociálních",NA,"80 %","Ani souhlasím/ani nesouhlasím","Spíše souhlasím","Rozhodně nesouhlasím","Rozhodně souhlasím","Spíše nesouhlasím","Ani souhlasím/ani nesouhlasím",NA,NA,"Asie",NA,NA,"Čína, Indie","Zřídka","USA","Byla to jazyková záležitost, protože nejsem rodilý mluvčí","Týkalo se to kvality vědecké práce",NA,NA,NA,"Vybírám si jen taková pracoviště, o nichž jsem přesvědčen, že dělají kvalitní vědu",NA,NA,NA,NA,NA,"Někdy","Velmi často","Někdy","Někdy","Velmi často","Někdy","Někdy","Zřídka","Někdy","Někdy","Někdy","Někdy","Někdy","Zřídka","ne","Ano","Ano","Ne",NA,NA,NA,NA,NA,NA,"Přiblížení k pravdě",NA,NA,NA,"Kritické myšlení","Reprodukovatelnost","Někdy","50%","40%","90%","30%","60%","40%","30%","90%","Ano","Ano","Ano","Ano","Ano","Ano","Ano","Ano","Velmi často","Státní nebo nadnárodní (státní nebo evropské instituce, grantové agentury apod.)","Financovaných z veřejných zdrojů","Dlouhodobé","Ano, vede k preferenci jednodušeji zodpověditelných výzkumných otázek (na úkor hlubších)",NA,"50%",0,0,-1,-1,-1,NA,"ne","ne","ne","ano","ne","ne",NA,"Muž","65 a více","20 a více let","Docent","Do 500","Ne","Akademický pracovník do třídy AP3",NA,"30%","60%","Spíše ne","Rozhodně ano","Rozhodně ano","Spíše ano","Spíše ano","Rozhodně ano","Spíše ano","Spíše ano","Rozhodně ano","Spíše ano",NA,NA,"3. místo","2. místo",NA,"1. místo","„Měkčí“ (méně exaktní)",NA,"Medicine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pharmacology",NA,NA,NA,NA,NA,NA,"UK"
"449",10,5899328,2019-11-05,169,"V soukromých společnostech","Chemické vědy","Ne","Hbn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100 %",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Přiblížení k pravdě",NA,NA,NA,NA,NA,"Zřídka","10%","40%","30%","50%","10%","20%","30%","20%","Ne","Ne","Ano","Ano","Ne","Ano","Ne","Ne","Vždy","Státní nebo nadnárodní (státní nebo evropské instituce, grantové agentury apod.)","Financovaných z veřejných zdrojů","Nehraje roli","Ano, vede k preferenci jednodušeji zodpověditelných výzkumných otázek (na úkor hlubších)",NA,"0%",-1,-1,-1,-1,0,NA,"ano","ano","ano","ne","ne","ano",NA,"Muž","45–54","10–19 let","CSc./Ph.D.","Do 1000","Ano","Vědecký pracovník do třídy VP1",NA,"20%","20%","Spíše ne","Spíše ne","Spíše ne","Spíše ano","Rozhodně ne","Rozhodně ne","Spíše ano","Spíše ne","Rozhodně ano","Spíše ne",NA,NA,NA,NA,NA,"1. místo","„Tvrdší“ (exaktnější)",NA,"Earth and Environmental Science",NA,NA,NA,NA,NA,NA,"Environmental Sciences",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UK"
